date,user_ip,trial_id,block_id,n_trials,n_block,block_size,target_shape,target_id,target_freq,target_n,timeLearning,setting_used,n_locks,lock_duration,unlock_action,lock_state,occurrence,time,time_selected,time_next,slider_display_span,n_opened_locker,first_unlock_occurrence,first_unlock_trial,nb_total_click,time_tuto,exp_total_time,mode_used,reload
Wed Aug 31 2022 10:30:04 GMT+0200 (heure d’été d’Europe centrale),91.170.91.50,0,0,122,3,35,Circle,1,8,5,22000,8*2.75s,8,2.75,0,0,1,7051,6275,776,-1,0,6,15,6,446011,576919,novice,0
Wed Aug 31 2022 10:30:04 GMT+0200 (heure d’été d’Europe centrale),91.170.91.50,1,1,122,3,35,Circle,1,8,5,22000,8*2.75s,8,2.75,0,0,2,5610,4965,645,-1,0,6,15,7,446011,576919,novice,0
Wed Aug 31 2022 10:30:04 GMT+0200 (heure d’été d’Europe centrale),91.170.91.50,2,1,122,3,35,X,5,9,5,22000,8*2.75s,8,2.75,1,1,1,13064,4965,8099,3719,1,1,2,7,446011,576919,learning,0
Wed Aug 31 2022 10:30:04 GMT+0200 (heure d’été d’Europe centrale),91.170.91.50,3,1,122,3,35,Diamond,4,6,5,22000,8*2.75s,8,2.75,1,1,1,7094,4965,2129,3801,2,1,3,3,446011,576919,learning,0
Wed Aug 31 2022 10:30:04 GMT+0200 (heure d’été d’Europe centrale),91.170.91.50,4,1,122,3,35,X,5,9,5,22000,8*2.75s,8,2.75,1,2,2,5483,4965,518,3338,3,1,2,4,446011,576919,learning,0
Wed Aug 31 2022 10:30:04 GMT+0200 (heure d’été d’Europe centrale),91.170.91.50,5,1,122,3,35,Cross,3,5,5,22000,8*2.75s,8,2.75,1,1,1,6569,4965,1604,3344,4,1,5,4,446011,576919,learning,0
Wed Aug 31 2022 10:30:04 GMT+0200 (heure d’été d’Europe centrale),91.170.91.50,6,1,122,3,35,Cross,3,5,5,22000,8*2.75s,8,2.75,1,2,2,7570,4965,2605,3462,5,1,5,4,446011,576919,learning,0
Wed Aug 31 2022 10:30:04 GMT+0200 (heure d’été d’Europe centrale),91.170.91.50,7,1,122,3,35,X,5,9,5,22000,8*2.75s,8,2.75,0,2,3,5616,4606,1010,-1,5,1,2,6,446011,576919,novice,0
Wed Aug 31 2022 10:30:04 GMT+0200 (heure d’été d’Europe centrale),91.170.91.50,8,1,122,3,35,Diamond,4,6,5,22000,8*2.75s,8,2.75,0,1,2,8533,7837,696,-1,5,1,3,8,446011,576919,novice,0
Wed Aug 31 2022 10:30:04 GMT+0200 (heure d’été d’Europe centrale),91.170.91.50,9,1,122,3,35,Circle,1,8,5,22000,8*2.75s,8,2.75,0,0,3,6734,5713,1021,-1,5,6,15,7,446011,576919,novice,0
Wed Aug 31 2022 10:30:04 GMT+0200 (heure d’été d’Europe centrale),91.170.91.50,10,1,122,3,35,Diamond,4,6,5,22000,8*2.75s,8,2.75,0,1,3,6486,5438,1048,-1,5,1,3,7,446011,576919,novice,0
Wed Aug 31 2022 10:30:04 GMT+0200 (heure d’été d’Europe centrale),91.170.91.50,11,1,122,3,35,Circle,1,8,5,22000,8*2.75s,8,2.75,0,0,4,6550,5608,942,-1,5,6,15,6,446011,576919,novice,0
Wed Aug 31 2022 10:30:04 GMT+0200 (heure d’été d’Europe centrale),91.170.91.50,12,1,122,3,35,Square,2,1,5,22000,8*2.75s,8,2.75,1,1,1,8246,5608,2638,4111,6,1,12,3,446011,576919,learning,0
Wed Aug 31 2022 10:30:04 GMT+0200 (heure d’été d’Europe centrale),91.170.91.50,13,1,122,3,35,X,5,9,5,22000,8*2.75s,8,2.75,1,3,4,10177,5608,4569,3752,7,1,2,4,446011,576919,learning,0
Wed Aug 31 2022 10:30:04 GMT+0200 (heure d’été d’Europe centrale),91.170.91.50,14,1,122,3,35,Circle,1,8,5,22000,8*2.75s,8,2.75,0,0,5,4966,4204,762,-1,7,6,15,7,446011,576919,novice,0
Wed Aug 31 2022 10:30:04 GMT+0200 (heure d’été d’Europe centrale),91.170.91.50,15,1,122,3,35,Circle,1,8,5,22000,8*2.75s,8,2.75,1,1,6,6870,4204,2666,3811,8,6,15,3,446011,576919,learning,0
Wed Aug 31 2022 10:30:04 GMT+0200 (heure d’été d’Europe centrale),91.170.91.50,16,1,122,3,35,X,5,9,5,22000,8*2.75s,8,2.75,1,4,5,6255,4204,2051,3702,9,1,2,3,446011,576919,learning,0
